Date,Week,AwayTeam,HomeTeam,AwayScore,HomeScore,PointSpread,ForecastDescription,ForecastTempLow,ForecastWindSpeed,Home_PlayerCount,Home_TotalExperience,Home_AvgAge,Home_AvgHeightIN,Away_PlayerCount,Away_TotalExperience,Away_AvgAge,Away_AvgHeightIN,HomeWin,Home_Week,Home_Team,Home_Opponent,Home_TeamScore,Home_OpponentScore,Home_IsHome,Home_AvgPointsScored_Last5,Home_AvgPointsAllowed_Last5,Home_RollingPointDiff_Last5,Home_Win,Home_RollingWinRate_Last5,Away_Week,Away_Team,Away_Opponent,Away_TeamScore,Away_OpponentScore,Away_IsHome,Away_AvgPointsScored_Last5,Away_AvgPointsAllowed_Last5,Away_RollingPointDiff_Last5,Away_Win,Away_RollingWinRate_Last5,ExperienceDiff,AgeDiff,HeightDiff,PlayerCountDiff,RollingPointDiff_Last5,RollingWinRateDiff_Last5
2025-09-28T16:25:00,4,BAL,KC,33,61,6.9,Clear Sky,68,7,73,467,26,77,65,471,27,76,1,4,KC,BAL,61,33,1,33.0,31.0,2.0,1,0.3333333333333333,4,BAL,KC,33,61,0,61.333333333333336,53.0,8.333333333333336,0,0.3333333333333333,-4,-1,1,8,-6.333333333333336,0.0
2025-09-28T16:25:00,4,CHI,LV,41,40,-2.5,Scattered Clouds,71,4,68,433,27,76,68,484,27,77,0,4,LV,CHI,40,41,1,29.333333333333332,41.0,-11.666666666666668,0,0.3333333333333333,4,CHI,LV,41,40,0,42.0,51.333333333333336,-9.333333333333336,1,0.3333333333333333,-51,0,-1,0,-2.333333333333332,0.0
2025-09-28T20:20:00,4,GB,DAL,66,66,10.8,Scattered Clouds,69,5,69,445,26,75,72,395,26,76,0,4,DAL,GB,66,66,1,40.666666666666664,50.666666666666664,-10.0,0,0.3333333333333333,4,GB,DAL,66,66,0,35.666666666666664,24.666666666666668,10.999999999999996,0,0.6666666666666666,50,0,-1,-3,-20.999999999999996,-0.3333333333333333
2025-09-29T19:15:00,4,NYJ,MIA,35,45,-4.1,Broken Clouds,77,13,71,447,27,76,79,470,26,76,1,4,MIA,NYJ,45,35,1,31.0,53.666666666666664,-22.666666666666664,1,0.0,4,NYJ,MIA,35,45,0,38.333333333333336,51.333333333333336,-13.0,0,0.0,-23,1,0,-8,-9.666666666666664,0.0
2025-09-29T20:15:00,4,CIN,DEN,8,46,-12.4,Overcast Clouds,54,4,66,462,27,77,66,413,27,76,1,4,DEN,CIN,46,8,1,37.333333333333336,35.333333333333336,2.0,1,0.3333333333333333,4,CIN,DEN,8,46,0,32.0,50.666666666666664,-18.666666666666664,0,0.6666666666666666,49,0,1,0,20.666666666666664,-0.3333333333333333
2025-10-02T20:15:00,5,SF,LAR,43,38,-14.1,Scattered Clouds,67,6,63,417,27,76,69,532,28,76,0,5,LAR,SF,38,43,1,41.5,33.5,8.0,0,0.75,5,SF,LAR,43,38,0,33.25,31.25,2.0,1,0.75,-115,-1,0,-6,6.0,0.0
2025-10-05T09:30:00,5,MIN,CLE,35,28,9.6,Overcast Clouds,52,8,71,443,26,77,65,440,27,76,0,5,CLE,MIN,28,35,1,23.5,42.25,-18.75,0,0.25,5,MIN,CLE,35,28,0,44.0,33.25,10.75,1,0.5,3,-1,1,6,-29.5,-0.25
2025-10-05T13:00:00,5,HOU,BAL,73,17,6.9,Clear Sky,59,3,65,471,27,76,75,516,27,77,0,5,BAL,HOU,17,73,1,54.25,55.0,-0.75,0,0.25,5,HOU,BAL,73,17,0,26.5,21.0,5.5,1,0.25,-45,0,-1,-10,-6.25,0.0
2025-10-05T13:00:00,5,MIA,CAR,40,45,2.7,Broken Clouds,63,3,73,507,27,76,71,447,27,76,1,5,CAR,MIA,45,40,1,31.25,39.5,-8.25,1,0.25,5,MIA,CAR,40,45,0,34.5,49.0,-14.5,0,0.25,60,0,0,2,6.25,0.0
2025-10-05T13:00:00,5,LV,IND,16,66,-12.4,Clear Sky,62,6,73,490,27,77,68,433,27,76,1,5,IND,LV,66,16,1,51.0,34.25,16.75,1,0.75,5,LV,IND,16,66,0,32.0,41.0,-9.0,0,0.25,57,0,1,5,25.75,0.5
